Code Value,Language,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
apl,Lipan,Awakening ,,North America,33.1513,-105.799
lcl,Lisela,Vulnerable ,11900,Southeast Asia,-3.2392,127.0239
lsd,Lishana Deni,Threatened ,7500,Near East,37.083700, 42.405488
lzl,Litzlitz,Critically Endangered ,15,Pacific,-16.114, 167.439
liv,Livonian,Dormant ,0,Europe,56.8333333333,24.0
olo,Livvi,Endangered ,,Caucasus;Europe;East Asia,61.1273,32.8765
duj-lil,Liyagalawumirr,Severely Endangered ,50,Australia,,
duj-liy,Liyagawumirr,Severely Endangered ,50,Australia,,
,Lizu,Endangered ,,East Asia,28.330373, 101.36055
lht,Lo-Toga,Endangered ,580,Pacific,-13.348755,166.641462
lgq,Logba,Threatened ,7500,Africa,6.952328, 0.472206
lof,Logol,Threatened ,2600,Africa,10.8521, 30.6463
liu,Logorik,Threatened ,2000,Africa,11.1433,29.8306
src,Logudorese Sardinian,Threatened ,,Europe,40.1116,9.1845
arw,Lokono,Severely Endangered ,2000,South America,5.455394, -55.187788
lcd,Lola,Endangered ,830,Southeast Asia,-6.3316,134.8818
llq,Lolak,Severely Endangered ,,Southeast Asia,.8569,124.0081
llg,Lole,Vulnerable ,20000,Southeast Asia,,
lgu,Longgu,Threatened ,1500,Pacific,-9.684, 160.656
,Lopnor Uighur,Critically Endangered ,24000,East Asia,40.983,84.224
lnn,Lorediakarkar,Severely Endangered ,,Pacific,-15.1967,167.0498
njh,Lotha Naga,At risk ,170001,South Asia,26.5,94.25
tei,Lou,Endangered ,953,Pacific,-3.45, 142.62
lou,Louisiana Creole,Severely Endangered ,7000,North America,30.652, -91.422
lox,Loun,Dormant ,0,Southeast Asia,-2.8717, 128.8366
cvn,Lower Central Chinantec,Threatened ,1500,"Mexico, Central America, Caribbean",17.7747,-96.3034
sli,Lower Silesian,Vulnerable ,22900,Europe,50.256688, 18.500977
dsb,Lower Sorbian,Threatened ,7240,Europe,51.75,14.3333333333
cnl,Lower Southeastern Chinantec,Vulnerable ,10700,"Mexico, Central America, Caribbean",17.482327,-95.879853
axl,Lower Southern Aranda,Dormant ,0,Australia,-25.63325931,135.4326846
"cuc, cnt",Lower West-Central Chinantec,Threatened ,9260,"Mexico, Central America, Caribbean",17.904915, -96.527359
clo,Lowland Chontal,Severely Endangered ,100,"Mexico, Central America, Caribbean",16.0,-95.75
qvo,Lowland Ecuadorian Quichua,Vulnerable ,,South America,-1.3511,-78.6511
"mco, mir, mzl, pxm",Lowland Mixe,Vulnerable ,50900,"Mexico, Central America, Caribbean",16.9166666667,-95.6666666667
urr,Löyöp,Endangered ,200,Pacific,-13.5311,167.3368
lex,Luang,Vulnerable ,18000,Southeast Asia,-8.18, 127.94
lud,Ludian,Critically Endangered ,300,Caucasus;Europe;East Asia,61.5867,33.6813
ldq,Lufu,Threatened ,3200,Africa,7.041226,9.768341
lui,Luiseño,Awakening ,,North America,33.4622,-117.1269
smj,Lule Saami,Endangered ,1000,Europe,67.272,17.7978
lmd,Lumun,Vulnerable ,30000,Africa,10.8387,30.0338
luw,Luo,Critically Endangered ,1,Africa,6.085,11.486
ldd,Luri,Critically Endangered ,2,Africa,10.171127, 9.726795
,Lushi,Dormant ,0,Africa,10.059639, 9.070630
"lut, sno, ska",Lushootseed,Critically Endangered ,5,North America,47.93, -122.14
luv,Luwati,Vulnerable ,5000,Near East,23.6193,58.5653
mfz,Mabaan,Severely Endangered ,25,Africa,9.786503,33.633736
muj,Mabire,Critically Endangered ,,Africa,12.1682,18.7275
mcl,Macaguaje,Dormant ,0,South America,0.491972,-76.244411
mbn,Macaguán,Endangered ,441,South America,6.5,-71.3333333333
mcb,Machiguenga,Threatened ,5000,South America,-12.0,-72.6666666667
myy,Macuna,Threatened ,1041,South America,-0.333333333333,-70.1666666667
grg,Madi,Endangered ,380,Pacific,-4.5,144.6
gmd,Mághdì,Threatened ,2000,Africa,,
zgr,Magori,Endangered ,200,Pacific,-10.0337,149.2272
mhe,Mah Meri,Threatened ,2896,Southeast Asia,,
mew,Maha,Vulnerable ,10000,Africa,10.934661,11.682242
bfz,Mahasu Pahari,At risk ,,South Asia,31.2738,77.1295
mhb,Mahongwe,Endangered ,1000,Africa,1.0216,13.9031
mcw,Mahwa,Threatened ,6560,Africa,11.740913,18.280973
nmu,Maidu,Dormant ,0,North America,40.4134,-120.6738
mjz,Majhi,Endangered ,24422,South Asia,27.9208, 83.5082
mkg,Mak (China),Endangered ,5000,East Asia,25.5532,107.3809
pbl,Mak (Nigeria),Threatened ,5690,Africa,9.312003, 11.191010
mca,Maká,Threatened ,1042,South America,-25.2122222, -57.5330556
myh,Makah,Awakening ,,North America,48.3658,-124.6118
mgf,Maklew,Endangered ,120,Southeast Asia,-7.7561, 139.5049
wpc,Mako,Vulnerable ,,South America,4.232227, -66.403103
zmh,Makolkol,Dormant ,0,Pacific,-4.8994,151.6827
lva,Maku'a,Critically Endangered ,50,Pacific,-8.4017,127.2271
mpu,Makurap,Severely Endangered ,45,South America,-12.1682, -63.0285
mbc,Makushi,Threatened ,7830,South America,4.0,-60.0
ymk,Makwe,Vulnerable ,32000,Africa,-10.614748, 40.382975
mkb,Mal Paharia,Vulnerable ,51000,South Asia,24.09, 87.35
ruy,Mala,Threatened ,6630,Africa,10.579561,8.096494
mal,Malabar Indo-Portuguese Creole,Critically Endangered ,6,South Asia,11.864854, 75.369846
mcm,Malaccan Creole Portuguese,Endangered ,,Southeast Asia,2.2, 102.25
mpb,Malak Malak,Critically Endangered ,11,Australia,-13.691648, 130.677778
mmt,Malalamai,Endangered ,,Pacific,-5.763899803,146.6495056
mdy,Malé,Vulnerable ,53800,Africa,5.386336,36.885738
pkt,Maleng,Endangered ,,Southeast Asia,17.920839,105.400831
bog,Malian Sign Language,Endangered ,,Africa,12.65, -8
pqm,Maliseet-Passamaquoddy,Endangered ,,North America,44.9572,-67.0496
vml,Malkana,Dormant ,0,Australia,-26.369725,114.207945
mfx,Malo,Vulnerable ,20151,Africa,6.950294,37.025083
mll,Malua Bay,Endangered ,500,Pacific,-15.98, 167.21
yga,Malyangapa,Dormant ,0,Australia,-30.5745762,140.7023202
mam,Mam,Vulnerable ,519664,"Mexico, Central America, Caribbean",14.80, -91.72
mhf,Mamaa,Endangered ,200,Pacific,-6.508642197,146.5274963
wmd,Mamaindé,Endangered ,250,South America,-11.8028,-59.8095
mgm,Mambae,At risk ,131000,Pacific,-9.20, 125.47
mcs,Mambai,Vulnerable ,,Africa,9.66666666667,14.0
mvd,Mamboru,Endangered ,13000,Southeast Asia,-9.392161, 119.533997
mml,Man Met,Threatened ,,East Asia,22.07, 100.84
mva,Manam,Threatened ,6000,Pacific,-4.07, 145.03
mle,Manambu,Threatened ,,Pacific,-4.19, 142.86
nmm,Manange,Threatened ,,South Asia,28.665, 84.023
pmr,Manat,Severely Endangered ,,Pacific,-4.94, 144.88
mnc,Manchu,Critically Endangered ,20,East Asia,49.5,127.5
kjh-fyk,Manchurian Kirghiz,Critically Endangered ,10,East Asia,47.8, 124.2
ate,Mand,Critically Endangered ,8,Pacific,-5.1292,144.7421
zma,Manda (Australia),Critically Endangered ,25,Australia,,
mha,Manda (India),Threatened ,4040,South Asia,20.1384,84.0289
mgs,Manda (Tanzania),Vulnerable ,22000,Africa,-10.930405, 34.738564
mht,Mandahuaca,Dormant ,0,South America,1.428,-66.9287
mhq,Mandan,Dormant ,0,North America,47.5165,-102.2461
zmk,Mandandanyi,Critically Endangered ,1,Australia,-27.019333,148.776722
mqr,Mander,Severely Endangered ,20,Southeast Asia,-2.4341,138.7284
djb-man,Mandjalpingu,Severely Endangered ,30,Australia,,
jet,Manem,Endangered ,400,Southeast Asia;Pacific,-2.99, 141.02
zng,Mang,Severely Endangered ,1750,Southeast Asia;East Asia,22.35,102.9666
mem,Mangala,Severely Endangered ,20,Australia,-19.492,123.84
mrv,Mangareva,Endangered ,Lessthan900,Pacific,-23.1226,-134.978
mpc,Mangarrayi,Critically Endangered ,50,Australia,-14.34354907,133.3128743
zns,Mangas,Endangered ,180,Africa,10.105134, 9.821771
myj,Mangayat,Endangered ,400,Africa,8.2495,25.7574
zme,Mangerr,Critically Endangered ,1,Australia,-12.23445,133.017806
buy,Mani,Severely Endangered ,200,Africa,9.1129,-13.2165
tnz,Maniq,Endangered ,,Southeast Asia,7.35,99.9333
1j4,Manjiljarra,Endangered ,500,Australia,-22.517631,123.840208
msk,Mansaka,Vulnerable ,57800,Southeast Asia,6.79, 126.18
msw,Mansoanka,Vulnerable ,10000,Africa,,
glv,Manx,Awakening ,,Europe,54.163387, -4.498093
nbi,Mao Naga,Vulnerable ,77810,South Asia,25.5,94.3333333333
myf,Mao of Bambeshi,Threatened ,5000,Africa,9.7469,34.7662
mmd,Maonan,Threatened ,70000,East Asia,24.825664, 108.258028
swb,Maore Comorian,Threatened ,,Africa,-12.0,44.0
mri,Māori,Endangered ,127000,Pacific,-40.0,176.0
mlh,Mape,Threatened ,5120,Pacific,-6.619209766,147.6359863
mpy,Mapia,Dormant ,0,Southeast Asia,0.8321, 134.3023
mcg,Mapoyo,Critically Endangered ,3,South America,6.0,-67.0
arn,Mapudungun,Threatened ,258413,South America,-40.0791, -71.0156
mrh,Mara Chin,Vulnerable ,42000,South Asia;Southeast Asia,23.0,93.1666666667
vmh,Maraghei,,Noestimateavailable,Near East,38.2036, 48.2519
nma,Maram Naga,Vulnerable ,37340,South Asia,25.185,93.9715
1kz,Mardin Sign Language,Severely Endangered ,,Europe,,
mrx,Maremgi,Severely Endangered ,55,Southeast Asia,-2.2571,139.5455
zmc,Margany,Critically Endangered ,1,Australia,-27.21067033,144.7191154
mbx,Mari,Endangered ,80,Pacific,-9.0478, 141.8994
mrc,Maricopa,Severely Endangered ,,North America,33.3772,-112.1676
zmd,Maridan,Critically Endangered ,20,Australia,-14.184522,130.056992
zmj,Maridjabin,Critically Endangered ,20,Australia,-13.866472,129.831508
zmm,Marimanindji,Critically Endangered ,15,Australia,-14.296972,130.184075
mbw,Maring,Vulnerable ,11000,Pacific,-5.5,144.666666667
nng,Maring Naga,Threatened ,22326,South Asia,24.6769,94.3835
mrb,Marino,Endangered ,,Pacific,-14.976036,168.121192
nsr,Maritime Sign Language,Critically Endangered ,100,North America,45.04, -63.88
zmy,Mariyedi,Critically Endangered ,20,Australia,,
mok,Marori,Endangered ,150,Southeast Asia,-8.519, 140.501
mec,Marra,Critically Endangered ,5,Australia,-14.90794876,135.1224023
mhg,Marrgu,Critically Endangered ,1,Australia,-11.147622,132.560164
xru,Marriammu,Critically Endangered ,7,Australia,,
zmt,Marringarr,Critically Endangered ,30,Australia,-14.377208,130.262539
mfr,Marrithiyel,Critically Endangered ,25,Australia,-13.83887457,130.0009396
mre,Martha's Vineyard Sign Language,Dormant ,,North America,,
mpj,Martu Wangka,Endangered ,800,Australia,-29.854456,122.324919
vma,Martuthunira,Critically Endangered ,5,Australia,-21.91408273,115.8212481
mzr,Marubo,Threatened ,1043,South America,-6.0968,-70.2246
mvs,Masep,Severely Endangered ,25,Southeast Asia,-1.7575,138.3178
cuj,Mashco Piro,Endangered ,200,South America,-12.0822,-69.7412
ism,Masimasi,Severely Endangered ,10,Southeast Asia,-2.01, 139.04
msv,Maslam,Threatened ,5000,Africa,12.136,14.6914
mdg,Massalat,Severely Endangered ,10,Africa,12.7635,20.5993
dmd,Mathi-Mathi,Awakening ,,Australia,-34.13829932,143.6694397
zmg,Mati Ke,Critically Endangered ,3,Australia,-14.004314,129.855606
mpq,Matís,Endangered ,280,South America,-4.41666666667,-70.25
mat,Matlatzinca,Threatened ,1134,"Mexico, Central America, Caribbean",19.39, -99.92
zml,Matngele,Critically Endangered ,15,Australia,-13.940756,130.611972
"mcf, pig",Matsés,Threatened ,2200,South America,-5.283333,-73.15
mkv,Mavea,Critically Endangered ,32,Pacific,-15.384, 167.230
mjj,Mawak,Severely Endangered ,25,Pacific,-4.5819,145.3079
mcz,Mawan,Endangered ,470,Pacific,-5.164199829,145.6166992
"mzx, mpw",Mawayana,Critically Endangered ,2,South America,1.5159,-58.4143
mav,Mawé,Threatened ,6219,South America,-3.8642,-56.7773
mgk,Mawes,Endangered ,693,Southeast Asia,-2.37, 139.75
mph,Mawng,Vulnerable ,,Australia,-12.06446118,133.060671
mbl,Maxakalí,Threatened ,1271,South America,-18.0,-40.0
mpd,Maxineri,Endangered ,950,South America,-10.5742,-70.4882
scb-may,May,Endangered ,,Southeast Asia,17.981492,105.622181
iwm,May River Iwam,Threatened ,3000,Pacific,-4.27, 141.82
0qb,Maya,Dormant ,0,Australia,-24.136728, 113.41095
xyk,Mayi-Kulan,Dormant ,0,Australia,-18.785081,141.229114
xmy,Mayi-Kutuna,Critically Endangered ,2,Australia,-18.64602942,139.6972619
xyt,Mayi-Thakurti,Dormant ,0,Australia,-20.00585156,	140.6753482
xyj,Mayi-Yapi,Dormant ,NoknownL1speakers,Australia,-19.194796, 140.468383
mfy,Mayo,Vulnerable ,32702,"Mexico, Central America, Caribbean",26.45, -108.98
vmb,Mbabaram,Dormant ,0,Australia,-17.21059785,144.6573105
mpk,Mbara (Chad),Endangered ,1000,Africa,11.0,15.4166666667
zmv,Mbariman-Gudhinma,Critically Endangered ,3,Australia,-14.629469,143.850325
0gx,Mbiywom,Dormant ,0,Australia,-12.89620501,142.2710997
xmb,Mbonga,Threatened ,1490,Africa,5.6, 13.8
bgu,Mbongno,Threatened ,,Africa,6.766898,11.060379
mxo,Mbowe,Threatened ,2690,Africa,-14.154511, 22.017453
mka,Mbre,Endangered ,200,Africa,8.20929," -5.72944
"
mhd,Mbugu,Threatened ,,Africa,-4.704289, 38.378472
mbv,Mbulungish,Threatened ,5000,Africa,,
,Mbwenelang,Critically Endangered ,10,Pacific,-16.348447,167.737211
gun,Mbyá,Vulnerable ,19924,South America,-26.5099, -55.2832
meg,Mea,Endangered ,300,Pacific,-21.6141,165.7836
afd,Meakambut,Endangered ,100,Pacific,-4.96, 143.64
txu,Mebengokre,Threatened ,7266,South America,-9.0,-52.0
ruq,Megleno-Romanian,Threatened ,5000,Europe,41.1042,22.2025
nux,Mehek,Threatened ,4027,Pacific,-3.71, 142.50
mmh,Mehináku,Endangered ,227,South America,-12.5423,-53.2403
gdq,Mehri,At risk ,100000,Near East,16.5993,52.8057
skf,Mekéns,Critically Endangered ,22,South America,-12.5, -61.5
mvk,Mekmek,Threatened ,1036,Pacific,-4.47, 143.75
sim,Mende,Threatened ,5057,Pacific,-3.75, 142.75
tnr,Ménik,Threatened ,,Africa,12.7528,-12.2717
mea,Menka,Vulnerable ,5200,Africa,5.885162, 9.833596
mez,Menominee,Severely Endangered ,35,North America,44.9356,-88.6144
mvx,Meoswar,Endangered ,250,Southeast Asia,2.08, 134.38
mnu,Mer (Indonesia),Severely Endangered ,85,Southeast Asia,-3.38, 134.73
lmb,Merei,Endangered ,400,Pacific,-15.2656,166.9104
ulk,Meriam,Endangered ,320,Australia,-9.91666666667,144.083333333
apm,Mescalero-Chiricahua,Threatened ,1500,North America,33.1514,-105.7942
mys,Mesmes,Dormant ,,Africa,,
mfs,Mexican Sign Language,Vulnerable ,87000,"Mexico, Central America, Caribbean",19.433333, -99.133333
98s,Meymai,Threatened ,,Near East,35.34, 53.24
ote,Mezquital Otomí,At risk ,100000,"Mexico, Central America, Caribbean",20.1666666667, -99.1666666667
mic,Mi'kmaq,Threatened ,8145,North America,44.995883,-63.658081
mia,Miami-Illinois,Awakening ,,North America,36.874400, -94.877200
mpt,Mian,Threatened ,1750,Pacific,-4.9, 141.6
crg,Michif,Critically Endangered ,,North America,52.0,-100.166666667
xmj,Midah,Threatened ,1000,Africa,11.3231,14.9839
clw-mid,Middle Chulym,Severely Endangered ,50,Caucasus;Europe;East Asia,,
cte,Middle Southeastern Chinantec,Vulnerable ,77087,"Mexico, Central America, Caribbean",17.567447,-95.940964
"mxq, neq",Midland Mixe,Threatened ,8000,"Mexico, Central America, Caribbean",16.947020, -96.014028
mxj,Miju-Mishmi,Threatened ,,South Asia;East Asia,29.0,96.0
mik,Mikasuki,Threatened ,,North America,26.3202,-80.9877
adi-mil,Milang,Vulnerable ,2150,South Asia,28.431389,95.041667
mlj,Miltu,Endangered ,300,Africa,10.2149,17.3913
drc,Minderico,Severely Endangered ,150,Europe,39.517, -8.683
mpn,Mindiri,Endangered ,,Pacific,-5.5517,146.1538
mko,Mingang Doso,Threatened ,3000,Africa,,
xmf,Mingrelian,At risk ,344000,Caucasus,42.014440, 43.566671
,Minhe Monguor,Vulnerable ,25000,East Asia,36.4919, 102.6452
hto,Minica Huitoto,Threatened ,7343,South America,-1.0,-74.0
xjb,Minjungbal,Dormant ,0,Australia,-28.71099279,153.5701791
mnq,Minriq,Endangered ,,Southeast Asia,5.01, 102.05
mzt,Mintil,Severely Endangered ,40,Southeast Asia,4.59, 101.99
adi-min,Minyong,Vulnerable ,,South Asia,28.2632, 95.0537
yiq,Miqie Yi,Threatened ,8000,East Asia,25.385286, 102.454376
mwl,Miranda do Douro,Vulnerable ,15000,Europe,41.4958535, -6.2738577
mmv,Mirití,Dormant ,0,South America,,
mep,Miriwoong,Critically Endangered ,,Australia,-16.01698315,128.7965195
0ql,Mirniny,Critically Endangered ,1,Australia,-31.4815611,127.8200044
tlc,Misantla Totonac,Endangered ,500,"Mexico, Central America, Caribbean",20.298178,-97.536594
mrg,Mising,At risk ,551224,South Asia,28.5,94.8333333333
miq,Mískito,At risk ,150000,"Mexico, Central America, Caribbean",15.16, -84.29
0h4,Mithaka,Dormant ,0,Australia,-25.13606725,139.598447
gac,Mixed Great Andamanese,Critically Endangered ,7,South Asia,12.240707,92.892052
mix,Mixtepec Mixtec,Threatened ,9170,"Mexico, Central America, Caribbean",17.31, -97.89
zpm,Mixtepec Zapotec,Threatened ,7000,"Mexico, Central America, Caribbean",16.3333333333,-96.3333333333
kql,Miyak,Endangered ,548,Pacific,-4.67, 143.85
mvi,Miyako,Severely Endangered ,10000,East Asia,24.8004,125.2798
soy,Miyobe,Threatened ,8700,Africa,,
mmm,Mkir,Endangered ,180,Pacific,-16.743822,168.165108
mra,Mlabri,Threatened ,400,Southeast Asia,18.5,101.0
lhs,Mlaḥsô,Dormant ,0,Europe;Near East,38.27, 40.39
kja,Mlap,Endangered ,300,Southeast Asia,-2.5383,140.2061
mlo,Mlomp,Threatened ,5400,Africa,12.7421,-16.4904
1hn,Mo'ang,Threatened ,5000,Southeast Asia;East Asia,23.8421, 103.9116
gbn,Mo'da,Endangered ,600,Africa,6.5008,29.9377
mhn,Mócheno,Threatened ,1900,Europe,46.1194,11.3258
mhc,Mocho',Critically Endangered ,30,"Mexico, Central America, Caribbean",15.3709,-92.2484
moc,Mocoví,Threatened ,2780,South America,-28.0, -60.5
mvq,Moere,Severely Endangered ,50,Pacific,-4.6038,145.437
mhj,Mogholi,Dormant ,0,Near East,35.0,62.0
moh,Mohawk,Endangered ,3850,North America,42.9116,-74.5587
mqs,"Moi (Maluku, Indonesia)",Vulnerable ,,Southeast Asia,0.3891447,127.3244647
,Moiso,Endangered ,100,Pacific,-15.442909,166.859333
mov,Mojave,Critically Endangered ,100,North America,34.0231,-114.5045
ymi,Moji,Vulnerable ,400,East Asia,23.6,102.7333
mqt,Mok,,,Southeast Asia;East Asia,18.91, 99.58
mwt,Moken,Endangered ,,Southeast Asia,,
mft,Mokerang,Endangered ,200,Pacific,-2.02, 147.42
mkj,Mokilese,Threatened ,1230,Pacific,6.66666666667,159.75
mkm,Moklen,Endangered ,,Southeast Asia,9.722, 98.415
mdf,Moksha,At risk ,200000,Caucasus;Europe;East Asia,54.0,44.0
zmo,Molo,Endangered ,,Africa,10.898,34.2773
msz,Momare,Endangered ,374,Pacific,-6.34, 147.79
dmb,Mombo,Vulnerable ,19000,Africa,14.376155, -3.664799
mso,Mombum,Endangered ,250,Southeast Asia,-8.25,138.75
mmb,Momina,Endangered ,200,Southeast Asia,-4.81, 139.82
mqf,Momuna,Threatened ,2000,Southeast Asia,-4.83333333333,139.25
mnd,Mondé,Dormant ,Ø,South America,-8.7602,-63.9074
mgt,Mongol-Kaimba,Endangered ,338,Pacific,-4.26, 143.92
mru,Mono (Cameroon),Severely Endangered ,300,Africa,,
mnh,Mono (Democratic Republic of the Congo),Vulnerable ,62102,Africa,4.562393, 19.937169
mte,Mono (Solomon Islands),Threatened ,3340,Pacific,-7.05,155.75
mnr,Mono (United States),Critically Endangered ,40,North America,37.0943,-119.4999
mxk,Monumbo,Endangered ,450,Pacific,-4.27, 144.95
moj,Monzombo,Vulnerable ,12600,Africa,3.0,18.4166666667
mop,Mopán,Vulnerable ,10000,"Mexico, Central America, Caribbean",16.5833333333,-88.6666666667
moq,"Mor (Bomberai Peninsula, Indonesia)",Severely Endangered ,60,Southeast Asia,-2.8607,132.7697
mhz,"Mor (Mor Islands, Indonesia)",Endangered ,700,Southeast Asia,-2.95,135.75
mrp,Mores,Endangered ,150,Pacific,-15.358567,166.935236
msx,Moresada,Endangered ,200,Pacific,-4.5017,144.9559
mor,Moro,Vulnerable ,30000,Africa,11.0,30.1666666667
mgc,Morokodo,Threatened ,3400,Africa,6.0313,29.7949
mrl,Mortlockese,Threatened ,5900,Pacific,5.5811,153.5668
cas,Mosetén,Vulnerable ,4800,South America,-15.2629,-66.8518
mqv,Mosimo,Severely Endangered ,50,Pacific,-4.9473,145.5551
mtt,Mota,Endangered ,700,Pacific,-13.82, 167.69
mlv,Motlav,Vulnerable ,2100,Pacific,-13.5833333333,167.583333333
atl,Mount Iraya Agta,Critically Endangered ,afewifany,Southeast Asia,13.46, 123.57
mzp,Movima,Threatened ,1173,South America,-13.8333333333,-65.6666666667
mpz,Mpi,Endangered ,1200,Southeast Asia,18.2554,100.2227
1ix,Mpra,Dormant ,Noknownfluentspeakers,Africa,,
akc,Mpur,Threatened ,7000,Southeast Asia,-0.75, 133.17
mro,Mru,Vulnerable ,50000populationtotalallcountries,South Asia;Southeast Asia,21.7748,92.2741
kqx,Mser,Severely Endangered ,500,Africa,,
ymd,Muda,Threatened ,2000,East Asia,21.8421, 100.6851
dmw,Mudburra,Critically Endangered ,,Australia,-17.37280975,132.0454005
gau,Mudhili Gadaba,Threatened ,8000,South Asia,18.3858,82.7819
vmd,Mudu Koraga,Threatened ,,South Asia,12.62, 75.11
aoj,Mufian,Vulnerable ,10646,Pacific,-3.58, 142.96
bmr,Muinane,Severely Endangered ,78,South America,-1.0,-72.5
mlm,Mulam,Endangered ,30000,East Asia,25.0,108.0
giu,Mulao,Critically Endangered ,onlyafewelderlyspeakers,East Asia,26.519, 106.984
vmu,Muluridyi,Critically Endangered ,1,Australia,-17.084411,145.123767
boe,Mundabli-Mufu,Endangered ,430,Africa,,
myu,Mundurukú,Threatened ,8000,South America,-7.0,-58.0
mij,Mungbam,Threatened ,1850,Africa,,
myr,Munichi,Dormant ,0,South America,-5.8182,-76.1846
mwb,Muniwara,Endangered ,826,Pacific,-3.79, 143.68
mnj,Munji,Threatened ,3770,Near East,36.0379,70.6723
mpv,Munkip,Severely Endangered ,12,Pacific,-6.45366,146.7479
umu,Munsee,Critically Endangered ,few,North America,40.8969,-76.3769
mtf,Murik,Threatened ,1256,Pacific,-3.83333333333, 144.25
mur,Murle,Vulnerable ,60200,Africa,6.5,33.5
mwf,Murrinh-patha,Threatened ,,Australia,-14.64409151,129.7406449
muz,Mursi,Threatened ,3278,Africa,5.58333333333,36.0833333333
huu,Murui Huitoto,Threatened ,,South America,-1.0,-73.5
zmu,Muruwari,Critically Endangered ,1,Australia,-28.94787072,146.6193904
xma,Mushungulu,Vulnerable ,23000,Africa,,
mus,Muskogee,Severely Endangered ,4200,North America,35.6319,-95.9616
ttt,Muslim Tat,Severely Endangered ,,Caucasus;Europe;Near East;East Asia,41.25,48.75
msu,Musom,Endangered ,219,Pacific,,
emi,Mussau-Emira,Threatened ,3651,Pacific,-1.45,149.616666667
mvm,Muya,Vulnerable ,15000,East Asia,30.2593,101.7497
ymz,Muzi,Threatened ,10000,East Asia,23.277, 103.151
mcj,Mvanip,Threatened ,100,Africa,6.7027,11.2225
mwa,Mwatebu,Endangered ,120,Pacific,-10.0202,151.0537
sie-mwe,Mwenyi,Threatened ,6000,Africa,-14.733789,22.450461
msn,Mwesen,Critically Endangered ,10,Pacific,-13.898, 167.538
swh-mwi,Mwini,Endangered ,,Africa,0.934354, 43.560612
nme,Mzieme Naga,Vulnerable ,,South Asia,25.6019,93.8891
nbt,Na,Threatened ,1500,South Asia,28.4638, 93.3041
ncd,Nachering,Vulnerable ,10041,South Asia,27.4144,86.7521
mbj,Nadëb,Endangered ,370,South America,-1.0,-66.5
,Nadouhua,Severely Endangered ,,East Asia,19.013, 108.678
srf,Nafi,Endangered ,160,Pacific,-6.3999,146.802
ngr,Nagu,Severely Endangered ,206,Pacific,-10.701147,165.897875
mlx,Naha'ai,Endangered ,600,Pacific,-16.562, 167.490
nhh,Nahari,Vulnerable ,20400,South Asia,20.41, 81.98
sns,Nahavaq,Endangered ,700,Pacific,-16.498397,167.471161
bio,Nai,Endangered ,454,Pacific,-3.73, 141.27
,Najit,Critically Endangered ,5,Pacific,-15.954546,167.198012
nae,Naka'ela,Critically Endangered ,5,Southeast Asia,-2.847,128.5208
nkj,Nakai,Endangered ,afewhundred,Southeast Asia,-5.19, 140.51
nck,Nakara,Severely Endangered ,75,Australia,-12.166817,134.486542
nbk,Nake,Endangered ,170,Pacific,-5.3691,145.7218
mff,Naki,Threatened ,3000,Africa,,
nax,Nakwi,Endangered ,216,Pacific,-4.27, 141.60
naj,Nalu,Vulnerable ,22000,Africa,10.9523,-14.7629
ylo,Naluo,Vulnerable ,15000,East Asia,26.5895,100.8506
nkm,Namat,Endangered ,180,Pacific,-8.83885,141.6379
mty,Nambi,Endangered ,484,Pacific,-3.53, 142.33
nab,Nambikwara,Endangered ,721,South America,-13.0,-59.0
nmq,Nambya,Threatened ,,Africa,,
nnm,Namia,Vulnerable ,3500,Pacific,-3.863, 141.801
naa,Namla,Severely Endangered ,36,Southeast Asia,,
mxw,Namo,Endangered ,380,Pacific,-9.1834,141.8994
nmt,Namonuito,Endangered ,940,Pacific,8.6299,150.0128
nmy,Namuyi,Endangered ,5000,East Asia,28.204625, 102.070935
gld,Nanai,Severely Endangered ,,Caucasus;Europe;East Asia,47.935, 132.847
nhd,Ñandeva,Endangered ,19308,South America,-22.0652,-54.7558
nzz,Nanga,Threatened ,3000,Africa,14.9, -3.0
cox,Nanti,Vulnerable ,450,South America,-11.6629,-72.6965
npy,Napu,Threatened ,6000,Southeast Asia,-1.33333333333,120.416666667
npa,Nar Phu,Endangered ,500,South Asia,28.666667,84.25
nxu,Narau,Severely Endangered ,85,Southeast Asia,-3.3818,139.8202
rnr,Nari Nari,Dormant ,0,Australia,-34.53088209,144.3450718
loh,Narim,Threatened ,3620,Africa,4.9048,34.2224
plb,Narmoris,Endangered ,,Pacific,-15.4907,167.0814
nhr,Naro,Vulnerable ,,Africa,-21.677848, 21.717224
nnr,Narungga,Severely Endangered ,24,Australia,-31.34203119,133.7639065
nsy,Nasal,Vulnerable ,,Southeast Asia,-4.859850, 103.482911
nvh,Nasarian,Critically Endangered ,20,Pacific,-16.3517,167.4659
,Nasvang,Endangered ,275,Pacific,-16.456484,167.664426
ntz,Natanzi,Threatened ,7030,Near East,33.452,51.3006
ncz,Natchez,Awakening ,,North America,,
1hr,Nāti,Severely Endangered ,25,Pacific,-16.515, 167.4645
nti,Natioro,Vulnerable ,,Africa,,
nxa,Nauete,Endangered ,1000,Pacific,-8.7357,126.7053
ynk,Naukan Yupik,Endangered ,,Caucasus;Europe;East Asia,66.0,-172.0
ncn,Nauna,Severely Endangered ,100,Pacific,-2.2159,148.1986
